BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
"LulzBot TAZ 3D Printer, Workhorse Edition, Boxed for Retail, AU",,KT-PR0051AU,"LulzBot TAZ 3D Printer, Workhorse Edition, Boxed for Retail, AU",1,PCE,T9006 7/25/2019
,> ,AS-PK0029,[AS-PK0029] Universal Tool Kit,1,PCE,T9006 7/25/2019
,> > ,AS-PK0010,[AS-PK0010] 90 mm wiper pad set,1,"PCE, 90mm, 5 pack",
,> > > ,AS-PR0023,[AS-PR0023] 90mm Cut wiper pad,5,"PCE, 90mm",
,> > > > ,HD-MS0550,"[HD-MS0550] Synthetic Felt Plain Backing, 1"" Wide, 1/4"" Thick - 50 ft",600,inch(es),
,> > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0529,"Reel, 5lb",
,> > > ,SH-PG0002,"[SH-PG0002] 3 x 4"" 2 Mil Reclosable Polypropylene Bags",1,PCE,
,> > ,AS-PK0027,[AS-PK0027] Clam knife with label,1,PCE,
,> > > ,DC-LB0062,"[DC-LB0062] Clam Knife Sheath Sticker - Caution Sharp Blade! (1""x2.5"" Rectangle) ",1,PCE,
,> > > ,TL-HD0359,"[TL-HD0359] 7 1/2"" Nylon Handle Clam Knife - Laser Etched with ""Sharp"" Icon",1,PCE,
,> > > > ,SR-MN0010,"[SR-MN0010] Laser Etching Service for Clam Knive, TL-HD0009 ",1,PCE,
,> > > > ,TL-HD0009,"[TL-HD0009] 7 1/2"" Nylon Handle Clam Knife",1,PCE,
,> > ,AS-PK0030,"[AS-PK0030] Tool Sub Kit, Universal ",1,PCE,
,> > > ,TL-HD0008,"[TL-HD0008] Stainless Steel Pocket Rule Semiflexible, Metric Grads, 150 mm Length",1,PCE,
,> > > ,TL-HD0046,[TL-HD0046] PRO DENTAL PICK (PROBE) (DP-19) M S V - in a protective sleeve or with a safety cap,1,PCE,
,> > > ,TL-HD0049,"[TL-HD0049] 6"" Deluxe Bent Stainless Steel Tweezers with Serrated Teeth and Safety Cap",1,PCE,
,> > ,TL-CS0117,"[TL-CS0117] Elmer's Glue Sticks, .77oz",1,PCE,
,> > ,TL-CS0255,"[TL-CS0255] Scotch Brite Maroon Pad, 2""X 3""",2,PCE,
,> > > ,TL-MS0568,"[TL-MS0568] Abrasive Roll, 2"" W x 30 ft. L Roll - Maroon",76.2,mm,
,> > ,TL-HD0048,[TL-HD0048] Elmer's X-Acto No. 1 Precision Knife - Aluminum,1,PCE,
,> > ,TL-HD0050,"[TL-HD0050] 6"" Long Nose Pliers",1,PCE,
,> > ,TL-HD0468,[TL-HD0468] 7 pc Long Arm Ball Hex Key Wrench Set (Metric) - Red,1,PCE,
,> > ,TL-MS0572,[TL-MS0572] Tool bag / Travel Organizer Case,1,PCE,
,> ,AS-PK0036,[AS-PK0036] Scotch Brite Wiper Pad Set,1,"pkg, 5",T9006 7/25/2019
,> > ,AS-PR0153,"[AS-PR0153] Treated Wiper Pad, 25 x 90mm, Standard Mount",5,PCE,
,> > > ,HD-MS0531,"[HD-MS0531] Scotch-Brite, Light Cleansing Pad, 7445B - 9 x 6"", White",1,PCE,
,> > ,SH-PG0005,"[SH-PG0005] 3 x 5"" 2 Mil Reclosable Polypropylene Bags",1,PCE,
,> ,AS-PK0040,"[AS-PK0040] Documentation Bag, Workhorse",1,PCE,T9006 7/25/2019
,> > ,DC-LB0187,[DC-LB0187] Label - TAZ Filament Sample Bags,1,PCE,
,> > ,SH-PG0030,[SH-PG0030] 8X10 2MIL RECLOSABLE BAG 1M/CT,1,PCE,
,> > ,SH-PG0084,"[SH-PG0084] 6 x 10"" 6 Mil Reclosable Bags",1,PCE,
,> > ,RM-PL0134,"[RM-PL0134] PolyLite PLA LulzBot Green,  2.85mm 3kg Reel – Polymaker",0.01,"Reel, 3kg",
,> ,AS-PK0041,"[AS-PK0041] Quick Start Guide Pack, Workhorse",1,PCE,T9006 7/25/2019
,> > ,DC-LB0095,"[DC-LB0095] LulzBot Logo Sticker, 3 - Inch",1,PCE,
,> > ,DC-MN0020,"[DC-MN0020] Quick Start Quide, TAZ Workhorse",1,PCE,
,> > ,DC-MS0076,[DC-MS0076] Cura Update Insert Card 02,1,PCE,
,> > ,SH-PG0083,"[SH-PG0083] 9 x 12"" 8 Mil Reclosable Bags",1,PCE,
,> ,AS-PR0168,"[AS-PR0168] TAZ Workhorse, Calibrated",1,PCE,T9006 7/25/2019
,> > ,PP-MP0082,"[PP-MP0082] Bed Leveling Washer, 303 SST",4,PCE,T8826 7/18/2019
,> > ,HD-MS0058,"[HD-MS0058] Wire Tie, 8"" Black, pk 1000",1,PCE,T8826 7/18/2019
,> > ,HD-BT0082,"[HD-BT0082] Metric 18-8 SS Flat Head Socket Cap Screw M3 Size, 16mm Length, .50mm Pitch",4,PCE,T8826 7/18/2019
,> > ,HD-MS0287,"[HD-MS0287] Metric 18-8 Stainless Steel Unthreaded Spacer, 8mm OD, 10mm Length, M3 Screw Size",4,PCE,T8826 7/18/2019
,> > ,HD-BT0157,"[HD-BT0157] Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 8mm Length, 0.50mm Pitch",3,PCE,T8826 7/18/2019
,> > ,EL-CA0063,[EL-CA0063] 6ft Tripp Lite - USB 2.0 A/B Gold Device Cable Ferrite Chokes A Male B Male,1,PCE,T8826 7/18/2019
